# language: fr
# type: frustration
# Source: FEEL via rfeel (see docs/FR_DATA_SOURCES.md)
affreux	-0.7
horrible	-0.7
nul	-0.7
terrible	-0.7
epouvantable	-0.7
catastrophique	-0.7
insupportable	-0.7
inacceptable	-0.7
lamentable	-0.7
desastreux	-0.7
miserable	-0.7
deplorable	-0.7
revoltant	-0.7
scandaleux	-0.7
honteux	-0.7
pitoyable	-0.7
consternant	-0.7
navrant	-0.7
accablant	-0.7
exasperant	-0.7
irritant	-0.7
ennuyeux	-0.7
penible	-0.7
fastidieux	-0.7
rebutable	-0.7
glaireux	-0.7
degoutant	-0.7
repugnant	-0.7
abject	-0.7
